Samples,Al,Ba,Br,Ca,Cr,Cu,Fe,K,Mg,Mn,Ni,P,Pb,S,Sr,Ti,Zn,Ellagic acid (% w/w)
ALSB 001-003,208.17,191.63,26.72,37827.73,0.00,3.33,155.95,4495.9,1740.43,25.09,0.00,729.61,0.52,1490.82,369.42,4.36,6.55,0.148682258
ALSB 004-006,60.62,348.5,11.5,31406.86,0.00,3.9,94.36,2681.69,2122.62,28.1,0.00,235.61,0.00,1613.4,529.63,2.53,8.01,0.134007222
ALSB 007 - 009,182.4,91.32,5.26,8965.21,0.97,2.58,119.26,4506.08,1501.36,27.61,1.02,1060.78,0.00,1449.37,306.55,1.43,5.36,0.670863582
ALSB 010 - 012,71.89,198.28,19.9,32962.32,0.00,3.01,84.1,7719.66,2165.71,60.28,0.00,2409.56,0.00,1530.23,338.62,2.73,7.87,0.029105136
ALSB 013 - 015,82.41,127.77,7.81,12542.47,0.00,5.54,92.3,9253.89,2325.38,34.84,0.52,2282.49,0.46,1285.02,245.24,2.09,8.95,0.043568892
ALSB 016 - 018,38.47,114.8,12.09,20938.9,0.00,3,51.68,8661.15,1996.92,20.9,0.00,1591.04,0.00,1237.66,240.38,1.68,7.12,0.046257441
ALSB 019 - 021,144.42,115.22,6.27,12848.04,0.00,2.97,126.96,8403.42,2184.57,34.64,0.00,1929.86,0.00,1200.81,278.57,3.34,5.12,0.03727339
ALSB 022 - 024,287.76,93.49,0,12332.14,0.00,4.43,197.6,10032.15,2915.78,39.01,0.54,4274.56,0.00,1250.07,271.32,4.65,7.45,0.033515305
ALSB 025 - 027,401.36,82.47,15.09,19880.27,0.00,6.19,416.69,7185.91,2288.92,55.66,0.00,1543.08,0.00,1226.9,252.78,8.14,9.42,0.040431635
ALSB 028 - 030,147.55,45.21,8.16,15938.53,0.42,5.83,251.72,7307.85,1944.57,26.09,1.24,993.71,0.00,1072.65,143.82,3.95,15.63,0.069340847
AL 001 - 003,0,727.64,0,186517.05,0.00,0,1610.92,20211.63,36263.24,0,0.00,5094.06,0.00,19792.11,1475.77,304.47,342.17,0.322456879
AL 004 - 006,0,418.79,0,120651.07,0.00,51.87,654.56,11308.56,23830.34,0,0.00,2763.81,0.00,14168.72,1043.21,158.92,202.26,0.34840552
AL 007 - 009,28.06,222.79,0,64280.58,0.00,0,545.75,8203.91,9927.11,0,0.00,1805.97,0.00,5612.59,479.18,79.75,105.22,0.262154903
AL 010 - 012,203.66,56.08,0,19533.74,0.00,12.31,241.63,6657.48,3394.81,11.96,0.00,1395.74,0.00,1954.63,122.86,11.27,28.92,0.316846323
AL 016 - 018,305.47,49.53,0,22911.2,0.00,13.69,360.34,8106.05,2926.34,35.58,0.00,1387.04,5.30,1711.98,151.92,13.46,21.57,0.247718192
AL 019 - 021,95.38,125.17,0,17674.87,0.00,33.67,137.87,4464.5,3130.2,20.26,0.00,853.32,5.07,1514.95,159.11,7.25,15.65,0.310452156
AL 022 - 024,139.02,49.65,0,28260.02,0.00,10.06,168.07,7607.21,3299.2,52.76,0.00,1416.44,1.80,1594.9,172.1,4.25,15.29,0.41151053
AL 025 - 027,391.02,41.78,28.47,15789.84,0.60,12.11,440.7,7125.02,2443.71,23.75,0.00,1077.26,2.74,1484.92,118.81,11.04,24.71,0.309075763
Al 028 - 030,297.77,70.23,12.94,17154.61,0.00,12.86,354.1,6825.66,2487.63,57.56,0.00,1032.24,3.27,1409.61,109.73,8.04,18.89,0.522987735
AL 031 - 033,301.38,42.11,43.97,17828.03,0.00,16.27,359.91,13973.62,2188.4,36.17,0.00,2010.92,8.37,1462.06,113.88,7.37,16.72,0.342975061
